,Model_name,Ratings,Customers_rated,RAM,Internal_storage,Display_size,Camera,Battery_mAh,Price,Discount,Final_Price
184,"SAMSUNG Galaxy J4 (Black, 32 GB)",4.2,338,3.0,32,13.97,13MP Rear Camera | 5MP Front Camera,3000,0,0,10990
185,"SAMSUNG Galaxy J7 - 6 (New 2016 Edition) (White, 16 GB)",4.3,77959,2.0,16,13.97,13MP Rear Camera | 5MP Front Camera,3300,15585,1,15299
186,"SAMSUNG Galaxy J2 (White, 8 GB)",4.1,20388,1.0,8,11.94,5MP Rear Camera | 2MP Front Camera,2000,0,0,6799
187,"SAMSUNG Galaxy A20 (Red, 32 GB)",4.4,15529,3.0,32,16.26,13MP + 5MP | 8MP Front Camera,4000,0,0,13099
188,"SAMSUNG Galaxy J2 Core (Blue, 8 GB)",4.2,10811,1.0,8,12.7,8MP Rear Camera | 5MP Front Camera,2600,0,0,6190
189,"SAMSUNG Galaxy A10 (Gold, 32 GB)",4.4,13098,2.0,32,15.75,13MP Rear Camera | 5MP Front Camera,3400,0,0,8700
190,"SAMSUNG Galaxy A20 (Gold, 32 GB)",4.4,15529,3.0,32,16.26,13MP + 5MP | 8MP Front Camera,4000,0,0,12900
191,"SAMSUNG Galaxy S6 Edge (Black Sapphire, 32 GB)",4.0,1219,3.0,32,12.95,16MP Rear Camera | 5MP Front Camera,2600,0,0,37299
192,"SAMSUNG Galaxy A10 (Gold, 32 GB)",4.4,13098,2.0,32,15.75,13MP Rear Camera | 5MP Front Camera,3400,0,0,8700
193,"SAMSUNG Galaxy A20 (Gold, 32 GB)",4.4,15529,3.0,32,16.26,13MP + 5MP | 8MP Front Camera,4000,0,0,12900
194,"SAMSUNG Galaxy S6 Edge (Black Sapphire, 32 GB)",4.0,1219,3.0,32,12.95,16MP Rear Camera | 5MP Front Camera,2600,0,0,37299
195,"SAMSUNG Galaxy J4 (Gold, 16 GB)",4.3,3073,2.0,16,13.97,13MP Rear Camera | 5MP Front Camera,3000,0,0,9500
196,"SAMSUNG Galaxy J2 Core (Gold, 8 GB)",4.2,10811,1.0,8,12.7,8MP Rear Camera | 5MP Front Camera,2600,0,0,6190
197,"SAMSUNG Galaxy J6 (Gold, 32 GB)",4.4,15792,3.0,32,14.22,13MP Rear Camera | 8MP Front Camera,3000,0,0,12990
198,"SAMSUNG Galaxy J2 Core (Black, 8 GB)",4.2,10811,1.0,8,12.7,8MP Rear Camera | 5MP Front Camera,2600,0,0,6200
199,"SAMSUNG Galaxy J2-2017 (Absolute black, 8 GB)",4.2,4014,1.0,8,11.94,5MP Rear Camera | 2MP Front Camera,2000,0,0,6000
200,"SAMSUNG Galaxy A6 (Blue, 64 GB)",4.4,676,4.0,64,14.22,16MP Rear Camera | 16MP Front Camera,3000,0,0,16990
201,"SAMSUNG Galaxy J4 (Blue, 32 GB)",4.2,338,3.0,32,13.97,13MP Rear Camera | 5MP Front Camera,3000,0,0,13023
